key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),wacc (factor),technical_lifetime (years)
energy_heat_flexibility_p2h_boiler_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
energy_heat_flexibility_p2h_heatpump_electricity,0,0.0,1.0,0.0,500000.0,0.04,15.0
energy_heat_heatpump_water_water_electricity,0.0,0.0,1.0,0.0,500000.0,0.04,15.0
energy_heat_industry_chemicals_fertilizers_residual_heat,0.0,0.0,25.0,8760.0,6625000.0,0.04,15.0
energy_heat_industry_chemicals_other_residual_heat,0.0,0.0,25.0,8760.0,6625000.0,0.04,15.0
energy_heat_industry_chemicals_refineries_residual_heat,0.0,0.0,25.0,8760.0,6625000.0,0.04,15.0
energy_heat_industry_other_ict_residual_heat,0.0,0.0,25.0,8760.0,22100000.0,0.04,15.0
energy_heat_solar_thermal,0.0,0.0,23.3,683.7,9333333.3,0.04,25.0
energy_heat_well_geothermal,0.0,0.0,14.0,6000.0,26726000.0,0.04,30.0
energy_hydrogen_biomass_gasification,0.0,0.0,0.0,7884.0,144005991.803279,0.07,40.0
energy_hydrogen_biomass_gasification_ccs,0.0,0.0,0.0,7884.0,232125805.10018253,0.07,40.0
energy_hydrogen_electrolysis_solar_electricity,0.0,0.0,0.0,1867.455406,10000000.0,0.07,25.0
energy_hydrogen_electrolysis_wind_electricity,0.0,0.0,0.0,4000.0,10000000.0,0.07,25.0
energy_hydrogen_flexibility_p2g_electricity,0,0.0,0.0,0.0,10000000.0,0.07,25.0
energy_hydrogen_solar_pv_solar_radiation,0.0,20.0,0.0,867.0,17420000.0,0.04,25.0
energy_hydrogen_steam_methane_reformer,0.0,0.0,0.0,7500.0,222000000.0,0.04,25.0
energy_hydrogen_steam_methane_reformer_ccs,0.0,0.0,0.0,7500.0,296814000.0,0.04,25.0
energy_hydrogen_wind_turbine_offshore,0.0,3.0,0.0,4000.0,11707500.0,0.04,20.0
energy_power_combined_cycle_ccs_coal,0.0,658.0,0.0,0.0,1704061960.7064521,0.07,30.0
energy_power_combined_cycle_ccs_network_gas,0.0,665.0,0.0,0.0,712185855.036906,0.07,30.0
energy_power_combined_cycle_coal,0.0,800.0,0.0,0.0,1542475240.0,0.04,30.0
energy_power_combined_cycle_coal_gas,1.000397291498612,835.0,0.0,1789.0,626250000.0,0.04,30.0
energy_power_combined_cycle_hydrogen,0.0,800.0,0.0,0.0,599540000.0,0.07,30.0
energy_power_combined_cycle_network_gas,9.253126764586955,800.0,0.0,1482.7202905485017,599540000.0,0.04,30.0
energy_power_engine_diesel,0.0,2.0,0.0,0.0,400000.0,0.04,30.0
energy_power_engine_network_gas,0.04755719968629841,400.0,0.0,21.849999999999994,260000000.0,0.04,25.0
energy_power_geothermal,0.0,12.0,0.0,8000.0,155084745.8,0.04,30.0
energy_power_hydro_mountain,0.0,500.0,0.0,0.0,618099845.753424,0.04,50.0
energy_power_hydro_river,3.700138154613462,10.0,0.0,2005.0,36000000.0,0.04,45.0
energy_power_nuclear_gen2_uranium_oxide,0.31055642718138154,1650.0,0.0,7792.243966843543,3200000000.0,0.07,50.0
energy_power_nuclear_gen3_uranium_oxide,0.0,1650.0,0.0,0.0,4950000000.0,0.07,60.0
energy_power_solar_csp_solar_radiation,0.0,50.0,0.0,867.0,175000000.0,0.04,30.0
energy_power_solar_pv_offshore,0.0,750.0,0.0,867.0,450000000.0,0.04,20.0
energy_power_solar_pv_solar_radiation,275.0,20.0,0.0,867.0,17420000.0,0.04,25.0
energy_power_supercritical_ccs_waste_mix,0.0,55.56,0.0,0.0,313914000.0,0.04,20.0
energy_power_supercritical_coal,0.8685367921353124,800.0,0.0,3920.3094068289997,790000000.0,0.04,45.0
energy_power_supercritical_waste_mix,0.0,55.56,0.0,0.0,250020000.0,0.04,20.0
energy_power_turbine_hydrogen,0.0,150.0,0.0,0.0,80388228.75,0.07,50.0
energy_power_turbine_network_gas,0.0,150.0,0.0,0.0,80388228.75,0.04,50.0
energy_power_ultra_supercritical_ccs_coal,0.0,637.0,0.0,0.0,1521064123.124154,0.07,40.0
energy_power_ultra_supercritical_coal,2.911281719403677,800.0,0.0,7658.638964361835,1120000000.0,0.04,40.0
energy_power_ultra_supercritical_cofiring_coal,0.47126692903828044,730.434782608696,0.0,7403.477989924192,1278260870.0,0.04,40.0
energy_power_ultra_supercritical_crude_oil,0.0,800.0,0.0,0.0,392000000.0,0.04,30.0
energy_power_ultra_supercritical_lignite,0.0,800.0,0.0,0.0,1027000000.0,0.04,30.0
energy_power_ultra_supercritical_network_gas,3.1580526923954704,800.0,0.0,3.510998798232302,316800000.0,0.04,30.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.0,660.0,0.0,0.0,2428800000.0,0.07,30.0
energy_power_wind_turbine_coastal,383.3333333333333,3.0,0.0,2644.0,4175962.5,0.04,25.0
energy_power_wind_turbine_inland,820.0,3.0,0.0,2069.33333333333,4175962.5,0.04,25.0
energy_power_wind_turbine_offshore,1383.3333333333333,3.0,0.0,3733.54231974922,11707500.0,0.04,20.0
energy_transport_hydrogen_compressed_trucks,0.0,0.0,0.0,8760.0,882272.7726894255,0.07,15.0
energy_transport_hydrogen_pipelines,0.0,0.0,0.0,8760.0,64400000.0,0.07,30.0
households_cooling_airconditioning_electricity,554354.06243037,0.0,0.0025,560.0,1800.0,0.02,15.0
households_cooling_heatpump_air_water_electricity,55453.84958161603,0.0,0.01,560.0,9098.0,0.02,15.0
households_cooling_heatpump_ground_water_electricity,18421.38222258502,0.0,0.01,560.0,13904.0,0.02,15.0
households_solar_pv_solar_radiation,20625000.0,0.000272,0.0,867.0,353.6,0.02,25.0
households_solar_pvt_solar_radiation,0.0,0.000894,0.0003333333333333333,867.0,498.0,0.02,25.0
households_space_heater_coal,1079.8409106278748,0.0,0.0099,974.748897744373,1980.0,0.02,15.0
households_space_heater_combined_hydrogen,0.0,0.0,0.022,0.0,2075.8450000000003,0.02,15.0
households_space_heater_combined_network_gas,6638990.35572972,0.0,0.022,438.63700398496786,2134.39,0.02,15.0
households_space_heater_crude_oil,10937.582732347017,0.0,0.0105,919.0489607304088,2100.0,0.02,15.0
households_space_heater_electricity,119224.83952918084,0.0,0.006,1608.3356812782156,300.0,0.02,15.0
households_space_heater_heatpump_air_water_electricity,189422.8684513001,0.0,0.01,965.0014087669292,9098.0,0.02,15.0
households_space_heater_heatpump_ground_water_electricity,62925.491771784946,0.0,0.01,965.0014087669291,13904.0,0.02,15.0
households_space_heater_heatpump_pvt_electricity,0.0,0.0,0.0078,0.0,12419.0,0.02,18.0
households_space_heater_hybrid_heatpump_air_water_electricity,13190.69797177849,0.0,0.004900000000000001,1969.3906301365903,3819.0,0.02,15.0
households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,6500.0,0.02,15.0
households_space_heater_network_gas,184321.64930039147,0.0,0.022,438.63700398496786,1300.0,0.02,15.0
households_space_heater_wood_pellets,377859.30525722046,0.0,0.0101,955.4469393731973,3030.0,0.02,15.0
households_water_heater_coal,0.0,0.0,0.0099,0.0,1980.0,0.02,15.0
households_water_heater_combined_hydrogen,0.0,0.0,0.022,0.0,0.0,0.02,15.0
households_water_heater_combined_network_gas,6711973.344728207,0.0,0.022,66.96395443992029,0.0,0.02,15.0
households_water_heater_crude_oil,0.0,0.0,0.0105,0.0,2100.0,0.02,15.0
households_water_heater_heatpump_air_water_electricity,150336.209112773,0.0,0.01,147.32069976782458,253.56875,0.02,15.0
households_water_heater_heatpump_ground_water_electricity,47275.808617144095,0.0,0.01,147.3206997678246,253.56875,0.02,15.0
households_water_heater_heatpump_pvt_electricity,0.0,0.0,0.0078,0.0,253.56874530428246,0.02,18.0
households_water_heater_hybrid_heatpump_air_water_electricity,11511.620948165257,0.0,0.0049,300.654489322091,0.0,0.02,15.0
households_water_heater_hybrid_hydrogen_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,0.0,0.02,15.0
households_water_heater_network_gas,185563.90094207536,0.0,0.024,61.383624903260255,484.0,0.02,15.0
households_water_heater_resistive_electricity,431914.7471067092,0.0,0.0015,982.137998452164,135.0,0.02,15.0
households_water_heater_solar_thermal,242110.36691729317,0.0,0.0014,791.666666666667,1155.0,0.02,20.0
households_water_heater_wood_pellets,0.0,0.0,0.0101,0.0,3030.0,0.02,15.0
industry_aluminium_burner_network_gas,0.6963470319634755,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_fertilizers_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_fertilizers_burner_crude_oil,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_fertilizers_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_fertilizers_burner_network_gas,25.799086757990885,0.0,100.0,2190.0,6000000.0,0.04,15.0
