key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),fixed_operation_and_maintenance_costs_per_year (Euros),variable_operation_and_maintenance_costs_per_full_load_hour (Euros),wacc (factor),technical_lifetime (years),total_investment_over_lifetime_per_node (Euros)
energy_heat_burner_hydrogen,0.0,0.0,5.0,0.0,300000.0,10000.0,5.0,0.04,25.0,0.0
energy_heat_burner_network_gas,0.0,0.0,5.0,0.0,300000.0,10000.0,5.0,0.04,25.0,0.0
energy_heat_burner_waste_mix,0.0,0.0,36.6,0.0,68808000.0,2976348.6,201.3,0.04,25.0,0.0
energy_heat_burner_wood_pellets,21.60349079203465,0.0,16.67,4681.499218025478,8184970.0,433420.0,0.0,0.04,15.0,176823924.02807984
energy_heat_flexibility_p2h_boiler_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
energy_heat_flexibility_p2h_heatpump_electricity,0,0.0,1.0,0.0,500000.0,5000.0,0.0,0.04,15.0,0.0
energy_heat_heatpump_water_water_electricity,0.0,0.0,1.0,0.0,500000.0,5000.0,0.0,0.04,15.0,0.0
energy_heat_industry_chemicals_fertilizers_residual_heat,0.0,0.0,25.0,8760.0,6625000.0,132500.0,0.0,0.04,15.0,0.0
energy_heat_industry_chemicals_other_residual_heat,0.0,0.0,25.0,8760.0,6625000.0,132500.0,0.0,0.04,15.0,0.0
energy_heat_industry_chemicals_refineries_residual_heat,0.0,0.0,25.0,8760.0,6625000.0,132500.0,0.0,0.04,15.0,0.0
energy_heat_industry_other_ict_residual_heat,0.0,0.0,25.0,8760.0,22100000.0,442000.0,0.0,0.04,15.0,0.0
energy_heat_solar_thermal,0.0,0.0,23.3,683.7,9333333.3,685151.5,0.0,0.04,25.0,0.0
energy_heat_well_geothermal,0.0,0.0,14.0,6000.0,26726000.0,1414000.0,26.6,0.04,30.0,0.0
energy_hydrogen_biomass_gasification,0.0,0.0,0.0,7884.0,144005991.803279,8758652.09471767,1110.94014392664,0.07,40.0,0.0
energy_hydrogen_biomass_gasification_ccs,0.0,0.0,0.0,7884.0,232125805.10018253,12140210.3825137,1110.94014392664,0.07,40.0,0.0
energy_hydrogen_electrolysis_solar_electricity,0.0,0.0,0.0,1867.455406,10000000.0,126000.0,0.0,0.07,25.0,0.0
energy_hydrogen_electrolysis_wind_electricity,0.0,0.0,0.0,4000.0,10000000.0,126000.0,0.0,0.07,25.0,0.0
energy_hydrogen_flexibility_p2g_electricity,0,0.0,0.0,0.0,10000000.0,126000.0,0.0,0.07,25.0,0.0
energy_hydrogen_solar_pv_solar_radiation,0.0,20.0,0.0,867.0,17420000.0,318000.0,0.0,0.04,25.0,0.0
energy_hydrogen_steam_methane_reformer,0.0,0.0,0.0,7500.0,222000000.0,9000000.0,0.0,0.04,25.0,0.0
energy_hydrogen_steam_methane_reformer_ccs,0.0,0.0,0.0,7500.0,296814000.0,9000000.0,0.0,0.04,25.0,0.0
